Maarintalo;
Water;
DateTime;m3
27.9.2015 16:00:00:000;0,17
27.9.2015 17:00:00:000;0,18
27.9.2015 18:00:00:000;0,17
27.9.2015 19:00:00:000;0,22
27.9.2015 20:00:00:000;0,2
27.9.2015 21:00:00:000;0,06
27.9.2015 22:00:00:000;0,08
27.9.2015 23:00:00:000;0,02
28.9.2015 00:00:00:000;0,05
28.9.2015 01:00:00:000;0,07
28.9.2015 02:00:00:000;0,05
28.9.2015 03:00:00:000;0,01
28.9.2015 04:00:00:000;0,02
28.9.2015 05:00:00:000;0,01
28.9.2015 06:00:00:000;0,02
28.9.2015 07:00:00:000;0,07
28.9.2015 08:00:00:000;0,08
28.9.2015 09:00:00:000;0,13
28.9.2015 10:00:00:000;0,22
28.9.2015 11:00:00:000;0,33
28.9.2015 12:00:00:000;0,43
28.9.2015 13:00:00:000;0,41
28.9.2015 14:00:00:000;0,41
28.9.2015 15:00:00:000;0,38
28.9.2015 16:00:00:000;0,43
28.9.2015 17:00:00:000;0,33
28.9.2015 18:00:00:000;0,28
28.9.2015 19:00:00:000;0,18
28.9.2015 20:00:00:000;0,12
28.9.2015 21:00:00:000;0,1
28.9.2015 22:00:00:000;0,08
28.9.2015 23:00:00:000;0,09
29.9.2015 00:00:00:000;0,09
29.9.2015 01:00:00:000;0,05
29.9.2015 02:00:00:000;0,02
29.9.2015 03:00:00:000;0,03
29.9.2015 04:00:00:000;0,03
29.9.2015 05:00:00:000;0,03
29.9.2015 06:00:00:000;0,01
29.9.2015 07:00:00:000;0,1
29.9.2015 08:00:00:000;0,14
29.9.2015 09:00:00:000;0,18
29.9.2015 10:00:00:000;0,31
29.9.2015 11:00:00:000;0,32
29.9.2015 12:00:00:000;0,41
29.9.2015 13:00:00:000;0,45
29.9.2015 14:00:00:000;0,43
29.9.2015 15:00:00:000;0,36
29.9.2015 16:00:00:000;0,41
29.9.2015 17:00:00:000;0,36
29.9.2015 18:00:00:000;0,35
29.9.2015 19:00:00:000;0,29
29.9.2015 20:00:00:000;0,22
29.9.2015 21:00:00:000;0,12
29.9.2015 22:00:00:000;0,07
29.9.2015 23:00:00:000;0,11
30.9.2015 00:00:00:000;0,04
30.9.2015 01:00:00:000;0,04
30.9.2015 02:00:00:000;0,08
30.9.2015 03:00:00:000;0,02
30.9.2015 04:00:00:000;0,04
30.9.2015 05:00:00:000;0,01
30.9.2015 06:00:00:000;0,06
30.9.2015 07:00:00:000;0,09
30.9.2015 08:00:00:000;0,18
30.9.2015 09:00:00:000;0,19
30.9.2015 10:00:00:000;0,29
30.9.2015 11:00:00:000;0,32
30.9.2015 12:00:00:000;0,43
30.9.2015 13:00:00:000;0,4
30.9.2015 14:00:00:000;0,53
30.9.2015 15:00:00:000;0,39
30.9.2015 16:00:00:000;0,37
30.9.2015 17:00:00:000;0,27
30.9.2015 18:00:00:000;0,33
30.9.2015 19:00:00:000;0,16
30.9.2015 20:00:00:000;0,12
30.9.2015 21:00:00:000;0,12
30.9.2015 22:00:00:000;0,08
30.9.2015 23:00:00:000;0,11
1.10.2015 00:00:00:000;0,07
1.10.2015 01:00:00:000;0,07
1.10.2015 02:00:00:000;0,02
1.10.2015 03:00:00:000;0,02
1.10.2015 04:00:00:000;0,01
1.10.2015 05:00:00:000;0,01
1.10.2015 06:00:00:000;0,04
1.10.2015 07:00:00:000;0,06
1.10.2015 08:00:00:000;0,14
1.10.2015 09:00:00:000;0,18
1.10.2015 10:00:00:000;0,26
1.10.2015 11:00:00:000;0,32
1.10.2015 12:00:00:000;0,44
1.10.2015 13:00:00:000;0,52
1.10.2015 14:00:00:000;0,46
1.10.2015 15:00:00:000;0,43
1.10.2015 16:00:00:000;0,45
1.10.2015 17:00:00:000;0,36
1.10.2015 18:00:00:000;0,18
1.10.2015 19:00:00:000;0,23
1.10.2015 20:00:00:000;0,2
1.10.2015 21:00:00:000;0,14
1.10.2015 22:00:00:000;0,09
1.10.2015 23:00:00:000;0,11
2.10.2015 00:00:00:000;0,1
2.10.2015 01:00:00:000;0,03
2.10.2015 02:00:00:000;0,03
2.10.2015 03:00:00:000;0,01
2.10.2015 04:00:00:000;0,01
2.10.2015 05:00:00:000;0,03
2.10.2015 06:00:00:000;0,01
2.10.2015 07:00:00:000;0,08
2.10.2015 08:00:00:000;0,17
2.10.2015 09:00:00:000;0,18
2.10.2015 10:00:00:000;0,27
2.10.2015 11:00:00:000;0,25
2.10.2015 12:00:00:000;0,29
2.10.2015 13:00:00:000;0,37
2.10.2015 14:00:00:000;0,33
2.10.2015 15:00:00:000;0,27
2.10.2015 16:00:00:000;0,32
2.10.2015 17:00:00:000;0,22
2.10.2015 18:00:00:000;0,25
2.10.2015 19:00:00:000;0,09
2.10.2015 20:00:00:000;0,22
2.10.2015 21:00:00:000;0,04
2.10.2015 22:00:00:000;0,04
2.10.2015 23:00:00:000;0,08
3.10.2015 00:00:00:000;0,03
3.10.2015 01:00:00:000;0,06
3.10.2015 02:00:00:000;0,01
3.10.2015 03:00:00:000;0,04
3.10.2015 04:00:00:000;0
3.10.2015 05:00:00:000;0,03
3.10.2015 06:00:00:000;0,04
3.10.2015 07:00:00:000;0,01
3.10.2015 08:00:00:000;0,06
3.10.2015 09:00:00:000;0,1
3.10.2015 10:00:00:000;0,11
3.10.2015 11:00:00:000;0,12
3.10.2015 12:00:00:000;0,14
3.10.2015 13:00:00:000;0,21
3.10.2015 14:00:00:000;0,21
3.10.2015 15:00:00:000;0,25
3.10.2015 16:00:00:000;0,18
3.10.2015 17:00:00:000;0,25
3.10.2015 18:00:00:000;0,2
3.10.2015 19:00:00:000;0,15
3.10.2015 20:00:00:000;0,11
3.10.2015 21:00:00:000;0,11
3.10.2015 22:00:00:000;0,06
3.10.2015 23:00:00:000;0,05
4.10.2015 00:00:00:000;0,04
4.10.2015 01:00:00:000;0,07
4.10.2015 02:00:00:000;0,03
4.10.2015 03:00:00:000;0,01
4.10.2015 04:00:00:000;0,04
4.10.2015 05:00:00:000;0,04
4.10.2015 06:00:00:000;0,03
4.10.2015 07:00:00:000;0,02
4.10.2015 08:00:00:000;0,01
4.10.2015 09:00:00:000;0,04
4.10.2015 10:00:00:000;0,06
4.10.2015 11:00:00:000;0,09
4.10.2015 12:00:00:000;0,18
4.10.2015 13:00:00:000;0,13
4.10.2015 14:00:00:000;0,26
4.10.2015 15:00:00:000;0,2
4.10.2015 16:00:00:000;0,25
4.10.2015 17:00:00:000;0,19
4.10.2015 18:00:00:000;0,18
4.10.2015 19:00:00:000;0,13
4.10.2015 20:00:00:000;0,18
4.10.2015 21:00:00:000;0,09
4.10.2015 22:00:00:000;0,12
4.10.2015 23:00:00:000;0,09
5.10.2015 00:00:00:000;0,08
5.10.2015 01:00:00:000;0,07
5.10.2015 02:00:00:000;0,04
5.10.2015 03:00:00:000;0,02
5.10.2015 04:00:00:000;0,09
5.10.2015 05:00:00:000;0,03
5.10.2015 06:00:00:000;0,01
5.10.2015 07:00:00:000;0,08
5.10.2015 08:00:00:000;0,15
5.10.2015 09:00:00:000;0,16
5.10.2015 10:00:00:000;0,24
5.10.2015 11:00:00:000;0,37
5.10.2015 12:00:00:000;0,37
5.10.2015 13:00:00:000;0,45
5.10.2015 14:00:00:000;0,39
5.10.2015 15:00:00:000;0,47
5.10.2015 16:00:00:000;0,39
5.10.2015 17:00:00:000;0,33
5.10.2015 18:00:00:000;0,29
5.10.2015 19:00:00:000;0,28
5.10.2015 20:00:00:000;0,2
5.10.2015 21:00:00:000;0,11
5.10.2015 22:00:00:000;0,1
5.10.2015 23:00:00:000;0,06
6.10.2015 00:00:00:000;0,07
6.10.2015 01:00:00:000;0,04
6.10.2015 02:00:00:000;0,03
6.10.2015 03:00:00:000;0,04
6.10.2015 04:00:00:000;0
6.10.2015 05:00:00:000;0,04
6.10.2015 06:00:00:000;0,02
6.10.2015 07:00:00:000;0,11
6.10.2015 08:00:00:000;0,22
6.10.2015 09:00:00:000;0,16
